score,linesCleared,individual,population
6380, 23, 11, 14
12070, 27, 12, 14
7780, 31, 13, 14
1240, 2, 14, 14
310, 0, 15, 14
360, 0, 16, 14
1900, 5, 17, 14
4460, 18, 18, 14
4400, 16, 19, 14
12140, 38, 0, 15
7290, 27, 1, 15
19920, 76, 2, 15
17260, 66, 3, 15
9640, 34, 4, 15
16380, 39, 5, 15
15110, 60, 6, 15
22600, 88, 7, 15
7110, 28, 8, 15
11330, 45, 9, 15
1030, 3, 10, 15
5880, 19, 11, 15
1250, 4, 12, 15
8390, 32, 13, 15
5520, 21, 14, 15
2620, 10, 15, 15
5280, 20, 16, 15
5020, 17, 17, 15
9090, 35, 18, 15
4000, 16, 19, 15
2160, 8, 0, 16
13860, 58, 1, 16
17250, 66, 2, 16
15130, 53, 3, 16
28860, 82, 4, 16
19730, 77, 5, 16
4110, 13, 6, 16
15160, 55, 7, 16
6660, 26, 8, 16
8020, 32, 9, 16
210, 0, 10, 16
2920, 6, 11, 16
5640, 18, 12, 16
5980, 23, 13, 16
7060, 26, 14, 16
15220, 50, 15, 16
6140, 22, 16, 16
6440, 25, 17, 16
240, 0, 18, 16
17140, 69, 19, 16
8280, 28, 0, 17
9420, 33, 1, 17
27870, 90, 2, 17
69820, 225, 3, 17
44210, 168, 4, 17
4760, 14, 5, 17
13350, 54, 6, 17
17210, 64, 7, 17
7100, 28, 8, 17
14430, 57, 9, 17
5110, 21, 10, 17
1520, 5, 11, 17
7340, 29, 12, 17
18940, 70, 13, 17
12230, 42, 14, 17
19520, 69, 15, 17
7100, 28, 16, 17
2200, 8, 17, 17
6880, 27, 18, 17
570, 1, 19, 17
5140, 14, 0, 18
7010, 24, 1, 18
65920, 220, 2, 18
22710, 76, 3, 18
9480, 35, 4, 18
10860, 43, 5, 18
15120, 44, 6, 18
14110, 52, 7, 18
42520, 116, 8, 18
28530, 109, 9, 18
10480, 43, 10, 18
5730, 22, 11, 18
300, 0, 12, 18
13080, 51, 13, 18
10370, 39, 14, 18
4460, 18, 15, 18
14640, 58, 16, 18
14380, 55, 17, 18
12790, 48, 18, 18
4450, 18, 19, 18
12480, 43, 0, 19
19660, 50, 1, 19
3080, 12, 2, 19
35170, 126, 3, 19
22240, 81, 4, 19
7800, 24, 5, 19
12120, 45, 6, 19
11200, 32, 7, 19
13090, 51, 8, 19
10880, 27, 9, 19
2810, 9, 10, 19
12010, 48, 11, 19
1640, 4, 12, 19
3960, 14, 13, 19
10050, 34, 14, 19
5790, 24, 15, 19
6190, 24, 16, 19
16700, 67, 17, 19
7600, 16, 18, 19
12950, 45, 19, 19
17900, 60, 0, 20
21380, 79, 1, 20
16180, 56, 2, 20
18040, 73, 3, 20
7660, 27, 4, 20
7060, 26, 5, 20
5070, 19, 6, 20
10800, 32, 7, 20
6180, 15, 8, 20
14290, 51, 9, 20
7790, 31, 10, 20
10190, 40, 11, 20
14470, 59, 12, 20
3750, 15, 13, 20
5110, 21, 14, 20
7360, 31, 15, 20
9390, 31, 16, 20
27970, 80, 17, 20
13440, 42, 18, 20
16820, 57, 19, 20
4070, 11, 0, 21
17030, 65, 1, 21
14230, 49, 2, 21
10120, 36, 3, 21
10980, 31, 4, 21
40860, 146, 5, 21
5120, 21, 6, 21
6960, 22, 7, 21
9360, 38, 8, 21
9990, 32, 9, 21
30220, 97, 10, 21
590, 1, 11, 21
3510, 14, 12, 21
190, 0, 13, 21
12460, 50, 14, 21
8330, 30, 15, 21
1280, 4, 16, 21
6340, 21, 17, 21
9540, 37, 18, 21
19510, 76, 19, 21
11920, 37, 0, 22
21320, 61, 1, 22
15240, 57, 2, 22
5970, 23, 3, 22
12010, 48, 4, 22
3300, 13, 5, 22
9040, 26, 6, 22
