score,linesCleared,individual,population
4200, 17, 0, 0
140, 0, 1, 0
240, 0, 2, 0
3710, 13, 3, 0
310, 0, 4, 0
610, 1, 5, 0
150, 0, 6, 0
330, 0, 7, 0
310, 0, 8, 0
9410, 33, 9, 0
250, 0, 10, 0
190, 0, 11, 0
260, 0, 12, 0
2430, 9, 13, 0
6280, 19, 14, 0
580, 1, 15, 0
200, 0, 16, 0
1940, 7, 17, 0
4150, 15, 18, 0
170, 0, 19, 0
22490, 59, 0, 1
10540, 38, 1, 1
5560, 23, 2, 1
3990, 16, 3, 1
15370, 63, 4, 1
7130, 30, 5, 1
5340, 22, 6, 1
560, 1, 7, 1
350, 0, 8, 1
550, 1, 9, 1
1050, 3, 10, 1
8950, 38, 11, 1
1050, 3, 12, 1
7010, 26, 13, 1
800, 2, 14, 1
300, 0, 15, 1
290, 0, 16, 1
7350, 31, 17, 1
330, 0, 18, 1
330, 0, 19, 1
10590, 40, 0, 2
13540, 30, 1, 2
9530, 37, 2, 2
10650, 42, 3, 2
10910, 45, 4, 2
4440, 18, 5, 2
5170, 16, 6, 2
3300, 13, 7, 2
4640, 19, 8, 2
6010, 25, 9, 2
200, 0, 10, 2
7500, 28, 11, 2
340, 0, 12, 2
6960, 22, 13, 2
1960, 7, 14, 2
330, 0, 15, 2
240, 0, 16, 2
2420, 9, 17, 2
280, 0, 18, 2
2870, 11, 19, 2
21750, 70, 0, 3
19570, 78, 1, 3
21480, 83, 2, 3
7130, 21, 3, 3
7710, 29, 4, 3
22380, 87, 5, 3
3270, 13, 6, 3
5110, 21, 7, 3
8770, 23, 8, 3
1500, 5, 9, 3
340, 0, 10, 3
170, 0, 11, 3
310, 0, 12, 3
300, 0, 13, 3
15100, 51, 14, 3
1470, 5, 15, 3
3920, 14, 16, 3
280, 0, 17, 3
4820, 18, 18, 3
10050, 18, 19, 3
6590, 24, 0, 4
5130, 21, 1, 4
10210, 40, 2, 4
17850, 74, 3, 4
4580, 15, 4, 4
6600, 24, 5, 4
8480, 29, 6, 4
13160, 55, 7, 4
13290, 43, 8, 4
6200, 24, 9, 4
3740, 15, 10, 4
12020, 41, 11, 4
12920, 45, 12, 4
350, 0, 13, 4
1030, 3, 14, 4
280, 0, 15, 4
760, 2, 16, 4
17080, 51, 17, 4
2410, 9, 18, 4
14310, 37, 19, 4
12610, 40, 0, 5
9500, 35, 1, 5
4340, 14, 2, 5
13490, 35, 3, 5
4170, 15, 4, 5
9310, 36, 5, 5
6110, 20, 6, 5
3980, 16, 7, 5
1700, 6, 8, 5
11980, 39, 9, 5
1240, 4, 10, 5
350, 0, 11, 5
310, 0, 12, 5
4440, 18, 13, 5
330, 0, 14, 5
9070, 35, 15, 5
22910, 52, 16, 5
330, 0, 17, 5
260, 0, 18, 5
840, 2, 19, 5
4250, 10, 0, 6
6500, 20, 1, 6
580, 1, 2, 6
6860, 18, 3, 6
9160, 30, 4, 6
6690, 28, 5, 6
10820, 41, 6, 6
9890, 28, 7, 6
4680, 19, 8, 6
390, 0, 9, 6
1030, 3, 10, 6
7730, 29, 11, 6
14450, 59, 12, 6
320, 0, 13, 6
10210, 40, 14, 6
1280, 4, 15, 6
12280, 35, 16, 6
9560, 39, 17, 6
4440, 18, 18, 6
12760, 55, 19, 6
6240, 26, 0, 7
8910, 36, 1, 7
6650, 19, 2, 7
7710, 29, 3, 7
18620, 65, 4, 7
7540, 21, 5, 7
610, 1, 6, 7
13260, 50, 7, 7
8210, 33, 8, 7
27470, 99, 9, 7
5660, 11, 10, 7
7060, 26, 11, 7
1070, 3, 12, 7
9220, 18, 13, 7
6260, 19, 14, 7
8910, 22, 15, 7
6680, 28, 16, 7
6570, 24, 17, 7
7150, 30, 18, 7
4680, 19, 19, 7
9590, 32, 0, 8
18890, 75, 1, 8
14350, 46, 2, 8
13880, 35, 3, 8
4180, 15, 4, 8
11240, 34, 5, 8
5250, 18, 6, 8
3310, 13, 7, 8
3040, 10, 8, 8
6200, 24, 9, 8
1710, 6, 10, 8
1040, 3, 11, 8
5560, 23, 12, 8
12420, 41, 13, 8
5010, 17, 14, 8
790, 2, 15, 8
12440, 50, 16, 8
360, 0, 17, 8
14050, 59, 18, 8
6150, 22, 19, 8
14780, 55, 0, 9
1300, 4, 1, 9
2200, 8, 2, 9
8170, 15, 3, 9
5750, 22, 4, 9
7830, 26, 5, 9
8980, 24, 6, 9
27980, 87, 7, 9
7770, 31, 8, 9
29180, 103, 9, 9
5550, 21, 10, 9
25050, 90, 11, 9
18770, 71, 12, 9
22730, 85, 13, 9
5320, 22, 14, 9
4000, 16, 15, 9
310, 0, 16, 9
2220, 8, 17, 9
4420, 18, 18, 9
320, 0, 19, 9
21290, 75, 0, 10
4600, 8, 1, 10
1020, 3, 2, 10
11330, 29, 3, 10
9770, 38, 4, 10
45370, 166, 5, 10
9980, 25, 6, 10
24940, 93, 7, 10
13190, 55, 8, 10
6450, 25, 9, 10
350, 0, 10, 10
25540, 78, 11, 10
1670, 4, 12, 10
8420, 32, 13, 10
350, 0, 14, 10
4190, 10, 15, 10
2990, 8, 16, 10
11840, 42, 17, 10
4720, 14, 18, 10
370, 0, 19, 10
16640, 49, 0, 11
30600, 111, 1, 11
1080, 3, 2, 11
3320, 13, 3, 11
11050, 35, 4, 11
7060, 26, 5, 11
13560, 46, 6, 11
5970, 23, 7, 11
34770, 126, 8, 11
4620, 17, 9, 11
1500, 5, 10, 11
140, 0, 11, 11
3540, 14, 12, 11
8390, 32, 13, 11
250, 0, 14, 11
5470, 19, 15, 11
5510, 21, 16, 11
18670, 58, 17, 11
1900, 5, 18, 11
23390, 88, 19, 11
81440, 289, 0, 12
14760, 46, 1, 12
300, 0, 2, 12
16350, 62, 3, 12
7250, 25, 4, 12
9260, 34, 5, 12
5700, 20, 6, 12
6440, 25, 7, 12
800, 2, 8, 12
4760, 14, 9, 12
9040, 35, 10, 12
3110, 5, 11, 12
13030, 49, 12, 12
390, 0, 13, 12
16860, 50, 14, 12
4860, 11, 15, 12
6320, 21, 16, 12
2410, 9, 17, 12
290, 0, 18, 12
13620, 48, 19, 12
15490, 51, 0, 13
10570, 38, 1, 13
9100, 21, 2, 13
16100, 52, 3, 13
12240, 49, 4, 13
16900, 68, 5, 13
11180, 39, 6, 13
2170, 8, 7, 13
27430, 97, 8, 13
8010, 32, 9, 13
310, 0, 10, 13
17110, 69, 11, 13
16250, 49, 12, 13
1680, 4, 13, 13
5550, 23, 14, 13
11270, 43, 15, 13
180, 0, 16, 13
5780, 24, 17, 13
16430, 41, 18, 13
6360, 23, 19, 13
64900, 219, 0, 14
7810, 24, 1, 14
11910, 44, 2, 14
2600, 8, 3, 14
12360, 46, 4, 14
8880, 27, 5, 14
3720, 13, 6, 14
23730, 68, 7, 14
7180, 23, 8, 14
5570, 23, 9, 14
11460, 42, 10, 14
