score,weight1,weight2,weight3,weight4,weight5,weight6,population
294, -0.014192,0.184167,0.017350,0.288438,-0.613185,-0.400235, 0
275, -0.609042,0.611456,-0.238930,-0.287630,0.862247,-0.765789, 0
733, 0.544022,-0.046478,0.950972,0.771390,0.719097,0.931444, 0
352, 0.439026,-0.079261,-0.952551,-0.918116,-0.156742,-0.498686, 0
116, -0.537260,0.798820,-0.180033,0.656748,0.447949,0.084801, 0
2984, 0.699393,-0.566243,-0.731032,-0.283258,0.722195,-0.344217, 0
5597, 0.316507,-0.886847,-0.732761,-0.922423,-0.174477,-0.870513, 0
1502, -0.688212,-0.630455,0.083009,-0.737240,-0.859065,-0.197894, 0
260, -0.805796,0.579961,0.722845,-0.758347,0.661844,-0.433896, 0
1488, -0.257033,-0.875415,-0.635077,0.562934,0.781332,0.812872, 0
123, -0.352265,0.480725,-0.753371,-0.083297,-0.802533,0.968824, 0
131, 0.572487,0.513974,-0.918023,0.839726,0.591551,-0.092500, 0
129, 0.969213,0.903339,0.277045,0.052222,-0.833901,0.417980, 0
396, 0.854328,-0.639697,-0.002059,0.577174,-0.398044,-0.340215, 0
273, -0.856722,0.344923,-0.215630,-0.491799,-0.092143,-0.434298, 0
258, -0.678927,0.555593,-0.953573,-0.432298,-0.527704,-0.756106, 0
3011, -0.463474,-0.955217,0.757868,-0.381498,0.884509,0.349419, 0
117, 0.526002,0.853722,0.252757,-0.196953,-0.094056,0.418856, 0
1487, -0.778973,-0.239727,0.779159,0.218968,-0.662553,-0.618884, 0
386, 0.878753,-0.519276,0.726039,-0.336877,-0.011075,-0.366104, 0
2434, -0.778973,-0.239727,0.779159,-0.283258,0.722195,-0.618884, 1
270, 0.544022,-0.079261,-0.952551,1.504584,-0.156742,0.931444, 1
378, 0.854328,-0.519276,-0.002059,0.577174,-0.011075,-0.366104, 1
1671, -0.778973,-0.079261,0.779159,0.218968,-0.156742,-0.618884, 1
794, 0.316507,-0.886847,-0.732761,0.562934,-0.174477,0.812872, 1
6290, -0.778973,-0.639697,0.779159,0.577174,-0.662553,-0.340215, 1
5130, -0.463474,-0.955217,0.757868,-0.381498,0.884509,0.349419, 1
1983, -0.778973,-0.239727,0.779159,0.218968,-0.662553,-0.618884, 1
571, 0.699393,-0.566243,-0.731032,-0.283258,0.722195,0.349419, 1
4101, -0.688212,-0.630455,0.083009,-0.737240,1.578134,0.931444, 1
348, 0.439026,-0.079261,-0.952551,-0.918116,-0.156742,-0.498686, 1
854, 0.878753,-0.519276,0.726039,-0.336877,-0.011075,-0.366104, 1
337, 0.854328,-0.639697,-0.002059,0.577174,-0.398044,-0.340215, 1
593, 0.544022,-0.046478,0.950972,0.771390,0.719097,0.931444, 1
3656, -0.778973,-0.239727,0.779159,0.218968,-0.662553,-0.618884, 1
588, -0.257033,-0.875415,-0.635077,0.562934,0.781332,0.812872, 1
3045, -0.688212,-0.630455,0.083009,-0.737240,-0.859065,-0.197894, 1
1063, 0.699393,-0.566243,-0.731032,-0.283258,0.722195,-0.344217, 1
4834, -0.463474,-0.955217,0.757868,-0.381498,0.884509,0.349419, 1
3499, 0.316507,-0.886847,-0.732761,-0.922423,-0.174477,-0.870513, 1
9261, -0.688212,-0.630455,-0.406586,0.218968,1.578134,-0.618884, 2
5056, -0.463474,-0.955217,0.757868,-0.381498,-0.156742,-0.618884, 2
1226, -0.463474,-0.955217,-0.732761,-0.922423,-0.174477,0.349419, 2
2237, -0.778973,-0.239727,0.779159,0.218968,0.884509,-0.618884, 2
356, -0.778973,-0.239727,0.779159,0.218968,-0.662553,0.931444, 2
822, -0.778973,-0.239727,0.779159,-1.878825,-0.859065,-0.618884, 2
16786, -0.778973,-0.639697,0.779159,0.577174,-0.662553,-0.340215, 2
10190, -0.463474,-0.639697,0.757868,0.577174,0.884509,-0.340215, 2
13238, -0.778973,-0.639697,0.779159,-0.283258,0.722195,-0.340215, 2
5057, -0.778973,-0.239727,0.779159,0.218968,0.722195,-0.618884, 2
832, -0.778973,-0.079261,0.779159,0.218968,-0.156742,-0.618884, 2
3114, -0.778973,-0.239727,0.779159,0.218968,-0.662553,-0.618884, 2
2085, -0.778973,-0.239727,0.779159,-0.283258,0.722195,-0.618884, 2
2456, -0.688212,-0.630455,0.083009,-0.737240,-0.859065,-0.197894, 2
1186, 0.316507,-0.886847,-0.732761,-0.922423,-0.174477,-0.870513, 2
2541, -0.778973,-0.239727,0.779159,0.218968,-0.662553,-0.618884, 2
568, -0.688212,-0.630455,0.083009,-0.737240,1.578134,0.931444, 2
5117, -0.463474,-0.955217,0.757868,-0.381498,0.884509,0.349419, 2
6308, -0.463474,-0.955217,0.757868,-0.381498,0.884509,0.349419, 2
13348, -0.778973,-0.639697,0.779159,0.577174,-0.662553,-0.340215, 2
2254, -0.778973,-0.239727,0.779159,0.218968,-0.662553,-0.618884, 3
4815, -0.463474,-0.639697,0.779159,-0.283258,0.722195,0.349419, 3
5635, -0.463474,-0.955217,0.757868,-0.381498,0.884509,0.349419, 3
10140, -0.463474,-0.955217,0.779159,-0.283258,0.722195,-0.340215, 3
8348, -0.463474,-0.639697,0.779159,0.577174,-0.156742,-0.340215, 3
2172, -0.778973,-0.239727,0.757868,0.577174,0.884509,-0.618884, 3
8450, -0.688212,-0.630455,0.779159,-0.283258,1.578134,-0.340215, 3
10010, -0.778973,-0.639697,0.779159,0.577174,0.722195,-0.340215, 3
2175, -0.778973,-0.239727,0.779159,0.218968,-0.662553,-0.618884, 3
162, -1.190423,1.425985,0.757868,-0.381498,0.722195,0.349419, 3
2751, -0.778973,-0.239727,0.779159,0.218968,-0.662553,-0.618884, 3
10346, -0.463474,-0.955217,0.757868,-0.381498,-0.156742,-0.618884, 3
3258, -0.778973,-0.239727,0.779159,0.218968,0.722195,-0.618884, 3
2247, -0.463474,-0.955217,0.757868,-0.381498,0.884509,0.349419, 3
8958, -0.463474,-0.955217,0.757868,-0.381498,0.884509,0.349419, 3
3343, -0.688212,-0.630455,-0.406586,0.218968,1.578134,-0.618884, 3
3902, -0.463474,-0.639697,0.757868,0.577174,0.884509,-0.340215, 3
11299, -0.778973,-0.639697,0.779159,-0.283258,0.722195,-0.340215, 3
4919, -0.778973,-0.639697,0.779159,0.577174,-0.662553,-0.340215, 3
3410, -0.778973,-0.639697,0.779159,0.577174,-0.662553,-0.340215, 3
5889, -0.778973,-0.955217,-1.723136,0.577174,0.722195,-0.340215, 4
582, 0.721404,-0.582397,-0.673497,-0.399875,-0.570593,0.755348, 0
1013, 0.303142,-0.977857,0.263926,-0.537556,-0.280517,0.681303, 0
186, 0.123445,0.179688,0.600976,-0.812533,-0.819524,-0.319761, 0
861, 0.454034,-0.881600,0.209738,0.821143,-0.910846,-0.689675, 0
