score,linesCleared,individual,population
300, 0, 0, 0
190, 0, 1, 0
250, 0, 2, 0
270, 0, 3, 0
310, 0, 4, 0
200, 0, 5, 0
190, 0, 6, 0
270, 0, 7, 0
250, 0, 8, 0
440, 1, 9, 0
340, 0, 10, 0
280, 0, 11, 0
210, 0, 12, 0
310, 0, 13, 0
300, 0, 14, 0
260, 0, 15, 0
790, 2, 16, 0
310, 0, 17, 0
360, 0, 18, 0
220, 0, 19, 0
340, 0, 0, 1
230, 0, 1, 1
330, 0, 2, 1
310, 0, 3, 1
340, 0, 4, 1
280, 0, 5, 1
240, 0, 6, 1
310, 0, 7, 1
260, 0, 8, 1
290, 0, 9, 1
230, 0, 10, 1
770, 2, 11, 1
330, 0, 12, 1
240, 0, 13, 1
800, 2, 14, 1
550, 1, 15, 1
570, 1, 16, 1
330, 0, 17, 1
300, 0, 18, 1
270, 0, 19, 1
340, 0, 0, 2
760, 2, 1, 2
370, 0, 2, 2
320, 0, 3, 2
820, 2, 4, 2
310, 0, 5, 2
560, 1, 6, 2
780, 2, 7, 2
310, 0, 8, 2
260, 0, 9, 2
260, 0, 10, 2
200, 0, 11, 2
230, 0, 12, 2
300, 0, 13, 2
500, 1, 14, 2
340, 0, 15, 2
570, 1, 16, 2
300, 0, 17, 2
190, 0, 18, 2
260, 0, 19, 2
570, 1, 0, 3
570, 1, 1, 3
510, 1, 2, 3
360, 0, 3, 3
360, 0, 4, 3
300, 0, 5, 3
310, 0, 6, 3
1400, 3, 7, 3
360, 0, 8, 3
340, 0, 9, 3
250, 0, 10, 3
300, 0, 11, 3
310, 0, 12, 3
320, 0, 13, 3
600, 1, 14, 3
490, 1, 15, 3
540, 1, 16, 3
310, 0, 17, 3
300, 0, 18, 3
330, 0, 19, 3
1100, 2, 0, 4
350, 0, 1, 4
320, 0, 2, 4
590, 1, 3, 4
340, 0, 4, 4
730, 2, 5, 4
330, 0, 6, 4
360, 0, 7, 4
340, 0, 8, 4
270, 0, 9, 4
520, 1, 10, 4
550, 1, 11, 4
350, 0, 12, 4
300, 0, 13, 4
240, 0, 14, 4
540, 1, 15, 4
320, 0, 16, 4
260, 0, 17, 4
370, 0, 0, 0
1930, 5, 0, 0
200, 0, 0, 0
