score,weight1,weight2,weight3,weight4,weight5,weight6,population
14642, -0.752530,-0.962463,0.216565,0.944214,0.230644,-0.940631, 4
155, -0.598275,1.209902,1.356394,-0.861254,-0.373569,-0.940631, 4
14555, -0.752530,-0.817401,0.216565,1.076780,0.583413,-0.754566, 4
3007, -0.413048,-0.873488,0.216565,0.944214,-0.398893,-0.940631, 4
2182, 0.736305,-0.962463,0.216565,0.210998,0.583413,-0.940631, 4
4192, -0.752530,-0.817401,0.216565,-0.861254,0.848940,-0.940631, 4
567, -0.413048,0.770400,0.216565,0.944214,0.230644,-0.940631, 4
5668, -0.413048,-0.962463,0.216565,0.944214,-0.398893,-0.940631, 4
18996, -0.752530,-0.962463,0.375598,-0.360353,0.848940,-0.409699, 4
1297, -0.413048,-0.962463,0.216565,-0.861254,-0.398893,-0.940631, 4
15573, -0.413048,-0.962463,0.216565,0.210998,-0.398893,-0.940631, 4
6365, -0.413048,-0.962463,0.375598,0.944214,-0.398893,-0.940631, 4
5387, 0.454034,-0.516022,-0.009391,0.821143,0.583413,-0.689675, 4
19121, -0.752530,-0.817401,0.216565,1.774075,0.230644,-0.754566, 4
8532, -0.752530,-0.817401,0.216565,-0.360353,0.848940,-0.754566, 4
10384, -0.598275,-0.962463,1.356394,-0.861254,-0.373569,-0.940631, 4
2857, 0.454034,-0.962463,0.375598,-0.792868,0.583413,-0.940631, 4
9069, -0.413048,-0.962463,0.375598,0.210998,-0.398893,-0.940631, 4
10354, -0.413048,-0.962463,0.216565,0.944214,0.848940,-0.940631, 4
16844, -0.413048,-0.962463,0.216565,0.944214,-0.398893,-0.940631, 4
13886, -0.413048,-0.962463,0.216565,-0.360353,0.848940,-0.754566, 5
17575, -0.752530,-0.817401,0.216565,1.076780,0.848940,-0.754566, 5
11962, -0.752530,-0.962463,0.216565,1.076780,0.583413,-0.754566, 5
