score,linesCleared,individual,population
200, 0, 0, 0
1160, 4, 1, 0
830, 2, 2, 0
210, 0, 3, 0
180, 0, 4, 0
180, 0, 5, 0
200, 0, 6, 0
200, 0, 7, 0
2710, 5, 8, 0
140, 0, 9, 0
250, 0, 10, 0
2110, 6, 11, 0
660, 2, 12, 0
320, 0, 13, 0
850, 2, 14, 0
6020, 25, 15, 0
220, 0, 16, 0
230, 0, 17, 0
250, 0, 18, 0
400, 0, 19, 0
13840, 58, 0, 1
1030, 3, 1, 1
790, 2, 2, 1
4210, 17, 3, 1
590, 1, 4, 1
1720, 6, 5, 1
400, 1, 6, 1
600, 1, 7, 1
320, 0, 8, 1
510, 1, 9, 1
820, 2, 10, 1
150, 0, 11, 1
260, 0, 12, 1
29180, 103, 13, 1
770, 2, 14, 1
300, 0, 15, 1
1480, 5, 16, 1
530, 1, 17, 1
340, 0, 18, 1
230, 0, 19, 1
18960, 70, 0, 2
11440, 42, 1, 2
8010, 32, 2, 2
1290, 4, 3, 2
2550, 8, 4, 2
1240, 4, 5, 2
610, 1, 6, 2
820, 2, 7, 2
320, 0, 8, 2
580, 1, 9, 2
270, 0, 10, 2
2560, 8, 11, 2
1650, 4, 12, 2
350, 0, 13, 2
7730, 15, 14, 2
2990, 10, 15, 2
7780, 31, 16, 2
4120, 13, 17, 2
4230, 10, 18, 2
6220, 17, 19, 2
4860, 18, 0, 3
10470, 43, 1, 3
5520, 21, 2, 3
8620, 33, 3, 3
6830, 18, 4, 3
3020, 10, 5, 3
4900, 13, 6, 3
3220, 9, 7, 3
2360, 7, 8, 3
2170, 8, 9, 3
7110, 28, 10, 3
13580, 55, 11, 3
9030, 33, 12, 3
18790, 48, 13, 3
1750, 6, 14, 3
8680, 28, 15, 3
760, 2, 16, 3
340, 0, 17, 3
13970, 46, 18, 3
4900, 20, 19, 3
810, 2, 0, 4
8540, 29, 1, 4
6090, 20, 2, 4
3870, 12, 3, 4
14150, 45, 4, 4
3380, 8, 5, 4
10210, 40, 6, 4
5130, 21, 7, 4
11970, 39, 8, 4
11510, 44, 9, 4
14700, 60, 10, 4
6090, 20, 11, 4
14980, 63, 12, 4
6600, 17, 13, 4
6190, 24, 14, 4
3100, 12, 15, 4
2560, 8, 16, 4
6630, 26, 17, 4
10200, 40, 18, 4
6460, 27, 19, 4
11120, 44, 0, 5
29130, 117, 1, 5
22800, 80, 2, 5
4460, 11, 3, 5
3090, 12, 4, 5
17720, 68, 5, 5
12670, 51, 6, 5
6430, 25, 7, 5
2850, 11, 8, 5
28940, 109, 9, 5
