score,weight1,weight2,weight3,weight4,weight5,weight6,population
186, 0.123445,0.179688,0.600976,-0.812533,-0.819524,-0.319761, 0
1242, -0.744768,-0.792910,0.642701,-0.422381,-0.270400,0.632136, 0
100, 0.159269,0.856837,0.257879,-0.560663,-0.666843,0.947939, 0
797, 0.816417,-0.342655,0.274440,-0.548489,0.864773,0.165633, 0
411, 0.590953,-0.935102,0.859976,-0.226470,-0.980473,-0.551520, 0
113, 0.254432,0.142972,0.628169,-0.144592,0.330439,0.808645, 0
114, 0.535647,0.585671,-0.984266,0.178348,-0.836710,-0.254666, 0
167, -0.189516,0.322560,-0.397829,-0.931638,0.761897,-0.064672, 0
169, -0.983699,0.578315,0.592672,0.290741,-0.970174,0.457445, 0
129, -0.543626,0.620779,0.522344,-0.683650,-0.605690,0.541871, 0
183, -0.235170,0.648742,-0.315157,-0.607002,-0.495850,-0.984718, 0
2995, -0.798357,-0.960203,0.600953,-0.782623,0.218145,0.764244, 0
397, -0.037288,-0.971371,0.086804,0.564882,-0.903009,-0.151299, 0
14992, -0.499790,-0.886708,-0.572984,-0.907118,0.404033,-0.543159, 0
151, 0.550328,0.860406,-0.922380,0.072671,-0.823244,-0.528070, 0
1477, -0.385458,-0.058414,-0.879328,0.299385,0.334584,-0.375178, 0
111, 0.314667,0.536227,-0.335380,-0.084379,0.753605,0.882765, 0
1513, -0.320136,-0.283684,0.911393,0.766668,-0.718801,-0.991615, 0
349, -0.384631,-0.218591,-0.878323,0.042385,-0.125709,0.525709, 0
844, 0.499226,-0.575381,0.386116,0.576846,0.497290,0.562872, 0
25287, -0.499790,-0.886708,0.403732,-0.907118,0.497290,-0.543159, 1
804, 0.590953,-0.935102,0.859976,-0.226470,-0.980473,0.632136, 1
1044, 0.499226,-0.575381,0.386116,-0.548489,0.864773,0.165633, 1
569, 0.499226,-0.342655,-0.691975,0.576846,0.497290,0.562872, 1
598, -0.037288,-0.283684,0.086804,0.564882,-0.718801,-0.151299, 1
590, -0.744768,-0.792910,0.386116,0.576846,-0.270400,0.562872, 1
767, 1.554487,-0.218591,-0.878323,-0.782623,0.218145,0.764244, 1
849, -0.798357,-0.283684,0.911393,0.766668,-0.718801,-0.991615, 1
16078, -0.385458,-0.935102,-0.879328,-0.226470,0.334584,-0.375178, 1
536, -0.385458,-0.058414,-0.879328,0.564882,-1.123342,-0.375178, 1
762, -0.384631,-0.218591,-0.878323,0.042385,-0.125709,0.525709, 1
594, -0.037288,-0.971371,0.086804,0.564882,-0.903009,-0.151299, 1
357, 0.590953,-0.935102,0.859976,-0.226470,-0.980473,-0.551520, 1
