score,linesCleared,individual,population
370, 0, 0, 0
620, 1, 1, 0
140, 0, 2, 0
2760, 7, 3, 0
800, 2, 4, 0
1670, 4, 5, 0
350, 0, 6, 0
160, 0, 7, 0
390, 0, 8, 0
170, 0, 9, 0
300, 0, 10, 0
170, 0, 11, 0
190, 0, 12, 0
200, 0, 13, 0
800, 2, 14, 0
380, 0, 15, 0
180, 0, 16, 0
590, 1, 17, 0
300, 0, 18, 0
370, 0, 19, 0
560, 1, 0, 1
610, 1, 1, 1
460, 1, 2, 1
540, 1, 3, 1
1700, 4, 4, 1
1680, 4, 5, 1
340, 0, 6, 1
1070, 3, 7, 1
610, 1, 8, 1
360, 0, 9, 1
170, 0, 10, 1
560, 1, 11, 1
1900, 5, 12, 1
320, 0, 13, 1
580, 1, 14, 1
1730, 6, 15, 1
150, 0, 16, 1
170, 0, 17, 1
2540, 6, 18, 1
330, 0, 19, 1
320, 0, 0, 2
1270, 4, 1, 2
1290, 4, 2, 2
2950, 8, 3, 2
570, 1, 4, 2
360, 0, 5, 2
380, 0, 6, 2
380, 0, 7, 2
360, 0, 8, 2
4130, 15, 9, 2
290, 0, 10, 2
380, 0, 11, 2
370, 0, 12, 2
370, 0, 13, 2
2670, 5, 14, 2
1710, 6, 15, 2
370, 0, 16, 2
180, 0, 17, 2
360, 0, 18, 2
780, 2, 19, 2
3760, 8, 0, 3
400, 0, 1, 3
10310, 30, 2, 3
360, 0, 3, 3
370, 0, 4, 3
5130, 18, 5, 3
1130, 2, 6, 3
830, 2, 7, 3
380, 0, 8, 3
580, 1, 9, 3
1470, 3, 10, 3
360, 0, 11, 3
540, 1, 12, 3
370, 0, 13, 3
170, 0, 14, 3
190, 0, 15, 3
600, 1, 16, 3
330, 0, 17, 3
4480, 13, 18, 3
580, 1, 19, 3
1470, 3, 0, 4
550, 1, 1, 4
560, 1, 2, 4
6560, 24, 3, 4
4020, 9, 4, 4
340, 0, 5, 4
1470, 3, 6, 4
1210, 2, 7, 4
580, 1, 8, 4
360, 0, 9, 4
620, 1, 10, 4
380, 0, 11, 4
2700, 5, 12, 4
1260, 4, 13, 4
6180, 10, 14, 4
340, 0, 15, 4
320, 0, 16, 4
600, 1, 17, 4
170, 0, 18, 4
570, 1, 19, 4
4020, 11, 0, 5
1490, 5, 1, 5
330, 0, 2, 5
1450, 3, 3, 5
350, 0, 4, 5
1460, 3, 5, 5
630, 1, 6, 5
1240, 4, 7, 5
340, 0, 8, 5
580, 1, 9, 5
160, 0, 10, 5
1070, 3, 11, 5
370, 0, 12, 5
1230, 4, 13, 5
350, 0, 14, 5
1920, 5, 15, 5
350, 0, 16, 5
200, 0, 17, 5
3160, 9, 18, 5
240, 0, 19, 5
9360, 26, 0, 6
4700, 14, 1, 6
4270, 12, 2, 6
620, 1, 3, 6
1470, 3, 4, 6
5010, 17, 5, 6
400, 0, 6, 6
3070, 12, 7, 6
2390, 9, 8, 6
2740, 7, 9, 6
380, 0, 10, 6
350, 0, 11, 6
1300, 4, 12, 6
2510, 6, 13, 6
6560, 15, 14, 6
320, 0, 15, 6
3990, 9, 16, 6
5110, 14, 17, 6
6330, 16, 18, 6
130, 0, 19, 6
4140, 6, 0, 7
8290, 21, 1, 7
350, 0, 2, 7
4620, 12, 3, 7
1650, 4, 4, 7
2100, 6, 5, 7
1870, 5, 6, 7
590, 1, 7, 7
790, 2, 8, 7
610, 1, 9, 7
1690, 4, 10, 7
170, 0, 11, 7
340, 0, 12, 7
7020, 19, 13, 7
2550, 8, 14, 7
15010, 41, 15, 7
5680, 13, 16, 7
1910, 5, 17, 7
8730, 27, 18, 7
4040, 13, 19, 7
10310, 30, 0, 8
4390, 11, 1, 8
3480, 12, 2, 8
1490, 5, 3, 8
6140, 15, 4, 8
1690, 6, 5, 8
5780, 19, 6, 8
4330, 14, 7, 8
3600, 9, 8, 8
3430, 10, 9, 8
3820, 10, 10, 8
150, 0, 11, 8
180, 0, 12, 8
6890, 22, 13, 8
830, 2, 14, 8
330, 0, 15, 8
2570, 8, 16, 8
800, 2, 17, 8
1670, 4, 18, 8
170, 0, 19, 8
8400, 27, 0, 9
1910, 5, 1, 9
610, 1, 2, 9
7750, 15, 3, 9
560, 1, 4, 9
8740, 18, 5, 9
1030, 3, 6, 9
1870, 5, 7, 9
5640, 18, 8, 9
1190, 2, 9, 9
3860, 12, 10, 9
3100, 7, 11, 9
6010, 16, 12, 9
340, 0, 13, 9
1680, 4, 14, 9
1020, 3, 15, 9
140, 0, 16, 9
7300, 20, 17, 9
6690, 21, 18, 9
4330, 7, 19, 9
3220, 9, 0, 10
4890, 20, 1, 10
9240, 27, 2, 10
1920, 7, 3, 10
7660, 22, 4, 10
2540, 8, 5, 10
3880, 12, 6, 10
2190, 8, 7, 10
4110, 13, 8, 10
9300, 24, 9, 10
7210, 20, 10, 10
210, 0, 11, 10
770, 2, 12, 10
380, 0, 13, 10
6620, 17, 14, 10
1720, 6, 15, 10
1700, 6, 16, 10
7130, 18, 17, 10
4530, 15, 18, 10
7910, 21, 19, 10
2120, 6, 0, 11
3250, 11, 1, 11
12340, 43, 2, 11
1660, 4, 3, 11
6680, 21, 4, 11
1000, 3, 5, 11
1660, 4, 6, 11
21300, 58, 7, 11
3670, 11, 8, 11
3400, 10, 9, 11
5770, 8, 10, 11
1300, 4, 11, 11
180, 0, 12, 11
580, 1, 13, 11
350, 0, 14, 11
7510, 23, 15, 11
320, 0, 16, 11
810, 2, 17, 11
780, 2, 18, 11
1050, 3, 19, 11
570, 1, 0, 12
7940, 23, 1, 12
580, 1, 2, 12
4660, 12, 3, 12
1910, 5, 4, 12
1260, 4, 5, 12
3560, 9, 6, 12
7070, 12, 7, 12
2990, 10, 8, 12
1670, 4, 9, 12
1240, 2, 10, 12
7730, 26, 11, 12
8730, 21, 12, 12
170, 0, 13, 12
4540, 15, 14, 12
2750, 9, 15, 12
1050, 3, 16, 12
3390, 8, 17, 12
410, 0, 18, 12
3600, 9, 19, 12
6080, 15, 0, 13
2740, 7, 1, 13
3980, 9, 2, 13
1930, 5, 3, 13
5540, 16, 4, 13
2670, 5, 5, 13
1250, 4, 6, 13
2630, 10, 7, 13
1280, 4, 8, 13
2350, 7, 9, 13
5360, 17, 10, 13
370, 0, 11, 13
1260, 4, 12, 13
3970, 9, 13, 13
5520, 16, 14, 13
590, 1, 15, 13
1000, 3, 16, 13
380, 0, 17, 13
8060, 18, 18, 13
14660, 44, 19, 13
7890, 23, 0, 14
830, 2, 1, 14
9860, 21, 2, 14
4660, 12, 3, 14
4100, 6, 4, 14
9910, 23, 5, 14
4490, 6, 6, 14
3400, 10, 7, 14
6470, 13, 8, 14
4480, 11, 9, 14
610, 1, 10, 14
2890, 6, 11, 14
160, 0, 12, 14
3120, 7, 13, 14
10930, 31, 14, 14
5220, 11, 15, 14
1230, 2, 16, 14
2490, 6, 17, 14
15080, 39, 18, 14
6820, 18, 19, 14
4320, 14, 0, 15
2840, 9, 1, 15
3750, 8, 2, 15
2510, 6, 3, 15
3720, 15, 4, 15
2170, 8, 5, 15
1620, 4, 6, 15
4100, 13, 7, 15
3240, 11, 8, 15
2050, 4, 9, 15
7000, 19, 10, 15
3320, 8, 11, 15
1200, 2, 12, 15
1210, 2, 13, 15
360, 0, 14, 15
9620, 29, 15, 15
400, 0, 16, 15
4450, 13, 17, 15
1710, 6, 18, 15
2660, 5, 19, 15
19730, 56, 0, 16
8030, 20, 1, 16
1440, 3, 2, 16
4340, 14, 3, 16
3680, 13, 4, 16
4480, 11, 5, 16
7660, 27, 6, 16
330, 0, 7, 16
3470, 12, 8, 16
1460, 3, 9, 16
6320, 21, 10, 16
1880, 5, 11, 16
4780, 9, 12, 16
1700, 4, 13, 16
1630, 4, 14, 16
4870, 13, 15, 16
1050, 3, 16, 16
1200, 2, 17, 16
8800, 18, 18, 16
5440, 12, 19, 16
2080, 6, 0, 17
370, 0, 1, 17
2590, 8, 2, 17
4610, 12, 3, 17
2330, 7, 4, 17
9390, 21, 5, 17
3640, 13, 6, 17
1510, 5, 7, 17
4080, 6, 8, 17
3490, 7, 9, 17
16470, 42, 10, 17
1200, 2, 11, 17
2170, 8, 12, 17
3570, 7, 13, 17
160, 0, 14, 17
2960, 8, 15, 17
13870, 41, 16, 17
2470, 4, 17, 17
5840, 19, 18, 17
2690, 7, 19, 17
11640, 36, 0, 18
4870, 13, 1, 18
810, 2, 2, 18
1910, 5, 3, 18
1740, 6, 4, 18
10670, 30, 5, 18
3300, 6, 6, 18
840, 2, 7, 18
9220, 27, 8, 18
5610, 18, 9, 18
5250, 11, 10, 18
10910, 31, 11, 18
2550, 8, 12, 18
4840, 18, 13, 18
7340, 24, 14, 18
2170, 8, 15, 18
2870, 11, 16, 18
2350, 7, 17, 18
1190, 2, 18, 18
6680, 21, 19, 18
3340, 8, 0, 19
9220, 29, 1, 19
4530, 8, 2, 19
2210, 3, 3, 19
4440, 11, 4, 19
5190, 18, 5, 19
1420, 3, 6, 19
550, 1, 7, 19
1930, 7, 8, 19
1660, 4, 9, 19
1060, 3, 10, 19
4880, 13, 11, 19
2780, 9, 12, 19
1270, 4, 13, 19
590, 1, 14, 19
12110, 38, 15, 19
7360, 15, 16, 19
4120, 8, 17, 19
160, 0, 18, 19
5010, 10, 19, 19
4340, 14, 0, 20
7360, 15, 1, 20
1860, 5, 2, 20
2860, 11, 3, 20
4540, 15, 4, 20
810, 2, 5, 20
2590, 8, 6, 20
3370, 8, 7, 20
9170, 25, 8, 20
5220, 11, 9, 20
2740, 7, 10, 20
370, 0, 11, 20
1930, 5, 0, 0
200, 0, 0, 0
