score,linesCleared,step
2200, 11, 0
7400, 35, 1
4000, 14, 2
26400, 112, 3
11400, 55, 4
10200, 47, 5
7400, 33, 6
7400, 37, 7
10200, 47, 8
5400, 27, 9
10600, 53, 10
3600, 18, 11
2600, 13, 12
6600, 33, 13
6600, 31, 14
1600, 8, 15
7200, 32, 16
6400, 30, 17
11800, 55, 18
600, 3, 0
