score,weight1,weight2,weight3,weight4,weight5,weight6,population
1013, 0.303142,-0.977857,0.263926,-0.537556,-0.280517,0.681303, 0
126, 0.017724,0.083384,0.355791,0.120679,0.421488,0.079891, 0
110, 0.795853,0.873505,-0.794480,-0.922766,0.494384,0.507472, 0
134, 0.534695,0.379578,-0.359516,-0.259301,-0.369315,-0.361210, 0
160, -0.163066,0.797326,0.701627,0.800891,0.042389,-0.290538, 0
322, 0.544106,-0.654469,-0.268395,-0.191968,-0.192025,0.451089, 0
130, -0.510665,0.825699,-0.465527,0.845126,-0.053622,0.955961, 0
804, -0.074983,-0.257769,0.829466,0.130537,-0.180535,0.323851, 0
1381, -0.361991,-0.645840,-0.296571,0.278493,0.094858,0.334114, 0
159, 0.917283,0.931792,0.131440,0.618910,0.732683,-0.826171, 0
398, -0.671627,0.276789,-0.480640,0.059978,-0.915178,0.327335, 0
1037, -0.488934,-0.425843,0.153034,0.045539,-0.580717,-0.900588, 0
329, 0.001500,0.344300,-0.158358,-0.169033,-0.525163,0.661107, 0
779, -0.845183,0.112847,-0.984733,-0.141754,-0.608660,0.110125, 0
2867, -0.807640,-0.691376,0.041917,0.323800,0.927534,-0.225400, 0
1977, 0.497629,-0.744094,-0.948611,-0.983011,0.315884,-0.863789, 0
120, 0.344324,0.826951,-0.289632,-0.502642,-0.127510,0.129651, 0
146, -0.403231,0.873991,-0.526049,0.438412,-0.295043,-0.051212, 0
339, 0.099519,-0.140225,-0.938365,0.114786,0.718021,-0.547025, 0
221, -0.775089,0.910381,-0.238401,0.266828,0.234180,-0.310868, 0
374, -0.488934,-0.425843,0.153034,-0.169033,-0.525163,0.661107, 1
182, -0.845183,0.112847,-0.984733,-0.141754,-0.280517,0.681303, 1
1080, -0.361991,-0.645840,-0.296571,0.278493,0.094858,0.334114, 1
120, -0.671627,0.276789,-0.480640,0.059978,-0.915178,0.327335, 1
569, 0.303142,-0.977857,-0.296571,-0.537556,0.094858,0.334114, 1
125, 0.001500,0.344300,-0.158358,-0.169033,-0.280517,0.681303, 1
96, 0.001500,0.344300,-0.938365,-0.169033,-1.498269,0.661107, 1
106, -0.074983,0.344300,0.829466,0.130537,-0.180535,0.323851, 1
94, 0.001500,0.276789,-0.158358,-0.169033,-0.525163,1.335356, 1
164, -0.671627,0.276789,-0.296571,0.278493,-0.915178,0.327335, 1
106, 0.001500,0.344300,-0.158358,-0.169033,-0.525163,0.661107, 1
1689, 0.099519,-0.140225,-0.938365,0.114786,0.718021,-0.547025, 1
175, -0.671627,0.276789,-0.480640,0.059978,-0.915178,0.327335, 1
788, -0.845183,0.112847,-0.984733,-0.141754,-0.608660,0.110125, 1
348, -0.074983,-0.257769,0.829466,0.130537,-0.180535,0.323851, 1
1639, 0.303142,-0.977857,0.263926,-0.537556,-0.280517,0.681303, 1
1042, -0.488934,-0.425843,0.153034,0.045539,-0.580717,-0.900588, 1
795, -0.361991,-0.645840,-0.296571,0.278493,0.094858,0.334114, 1
3257, 0.497629,-0.744094,-0.948611,-0.983011,0.315884,-0.863789, 1
4511, -0.807640,-0.691376,0.041917,0.323800,0.927534,-0.225400, 1
978, -0.845183,0.112847,0.153034,-0.141754,-0.580717,0.110125, 2
3724, -0.361991,-0.645840,-0.296571,0.278493,0.094858,-0.313615, 2
797, -0.361991,-0.645840,-0.908051,0.278493,0.094858,0.334114, 2
583, 0.099519,-0.140225,-0.938365,0.114786,0.718021,1.821902, 2
1511, 0.099519,-0.425843,-0.938365,-0.169033,-0.525163,-0.547025, 2
816, 0.303142,-0.977857,0.263926,0.114786,-0.280517,0.681303, 2
795, 0.303142,-0.645840,0.263926,0.278493,0.094858,0.681303, 2
1207, 0.303142,-0.645840,0.263926,-0.537556,0.094858,0.681303, 2
9359, -0.488934,-0.977857,0.263926,0.045539,-0.580717,-0.900588, 2
1241, -0.361991,-0.425843,-0.296571,0.045539,0.094858,-0.900588, 2
360, -0.488934,-0.425843,0.153034,-0.169033,-0.525163,0.661107, 2
2918, 0.303142,-0.977857,-0.296571,-0.537556,0.094858,0.334114, 2
338, -0.845183,0.112847,-0.984733,-0.141754,-0.608660,0.110125, 2
4620, -0.361991,-0.645840,-0.296571,0.278493,0.094858,0.334114, 2
1057, -0.488934,-0.425843,0.153034,0.045539,-0.580717,-0.900588, 2
813, -0.361991,-0.645840,-0.296571,0.278493,0.094858,0.334114, 2
1455, 0.303142,-0.977857,0.263926,-0.537556,-0.280517,0.681303, 2
2325, 0.099519,-0.140225,-0.938365,0.114786,0.718021,-0.547025, 2
1001, 0.497629,-0.744094,-0.948611,-0.983011,0.315884,-0.863789, 2
8547, -0.807640,-0.691376,0.041917,0.323800,0.927534,-0.225400, 2
5283, -0.807640,-0.691376,0.263926,0.323800,0.927534,-0.225400, 3
10410, -0.807640,-0.691376,-0.296571,-1.053265,0.094858,-0.225400, 3
831, 0.099519,-0.140225,1.876469,0.045539,0.032681,-0.900588, 3
6994, -0.361991,-0.645840,-0.938365,0.278493,0.094858,-0.547025, 3
3264, -0.361991,-0.977857,-0.296571,0.045539,0.094858,0.334114, 3
1244, 0.099519,-0.425843,-0.938365,0.114786,0.718021,-0.547025, 3
