score,weight1,weight2,weight3,weight4,weight5,weight6,population
582, 0.721404,-0.582397,-0.673497,-0.399875,-0.570593,0.755348, 0
125, -0.312451,0.826119,-0.227399,0.496515,-0.879143,0.656775, 0
117, 0.497780,0.126714,-0.418797,0.037968,-0.628884,0.426870, 0
169, -0.556995,0.829875,-0.113589,0.476778,-0.105999,-0.846619, 0
367, 0.761822,-0.246827,-0.007669,-0.442637,-0.609961,-0.250123, 0
1017, 0.833768,-0.888556,0.167480,-0.839728,-0.288432,0.596887, 0
102, 0.915619,0.399117,0.423006,-0.311780,-0.104368,0.543863, 0
7409, -0.655004,-0.606589,-0.329422,-0.073801,0.431380,0.041694, 0
522, -0.646932,0.874385,-0.128431,0.239479,0.351163,0.765570, 0
104, 0.392860,0.112985,-0.481257,-0.614809,0.670348,-0.091217, 0
121, 0.135068,0.504117,0.020226,-0.697452,0.664388,0.731794, 0
125, 0.899435,0.580008,0.130912,0.322442,-0.731772,-0.973457, 0
596, -0.133695,-0.386776,-0.580045,0.536883,0.539423,0.851335, 0
116, -0.421423,0.892491,0.725720,0.450146,0.131970,0.076882, 0
571, 0.215716,-0.475170,-0.810132,0.734460,-0.089979,0.860216, 0
1694, -0.356758,-0.954911,0.364333,0.663468,-0.652363,0.028721, 0
1446, 0.395263,-0.752928,-0.391271,-0.473826,0.569514,-0.123043, 0
5002, -0.447282,-0.564181,0.490181,-0.027327,0.972701,0.029603, 0
372, -0.175993,-0.448722,-0.077906,-0.450273,-0.998576,-0.945936, 0
354, 0.626609,0.217140,-0.421106,0.816477,-0.048400,0.488915, 0
2188, -0.356758,-0.954911,-0.580045,0.663468,0.539423,0.851335, 1
545, 0.833768,-0.582397,0.167480,-0.839728,-0.288432,0.755348, 1
616, -0.175993,-0.448722,-0.077906,-0.450273,-0.998576,-0.945936, 1
547, 0.215716,-0.475170,-0.810132,0.663468,-0.089979,0.860216, 1
1618, 0.833768,-0.888556,0.167480,0.536883,0.539423,0.596887, 1
125, -0.646932,0.874385,-0.580045,0.536883,0.539423,0.765570, 1
526, 0.395263,-0.752928,-0.329422,-0.073801,0.569514,-0.123043, 1
121, -0.646932,0.874385,-0.673497,-0.399875,-0.570593,0.765570, 1
136, -0.646932,0.903021,-0.391271,-0.473826,0.351163,-0.123043, 1
383, -0.356758,-0.582397,-0.673497,0.663468,-0.652363,0.755348, 1
1038, -0.175993,-0.448722,-0.077906,-0.450273,-0.998576,-0.945936, 1
110, -0.646932,0.874385,-0.128431,0.239479,0.351163,0.765570, 1
350, 0.215716,-0.475170,-0.810132,0.734460,-0.089979,0.860216, 1
1632, 0.721404,-0.582397,-0.673497,-0.399875,-0.570593,0.755348, 1
3321, -0.133695,-0.386776,-0.580045,0.536883,0.539423,0.851335, 1
332, 0.833768,-0.888556,0.167480,-0.839728,-0.288432,0.596887, 1
791, 0.395263,-0.752928,-0.391271,-0.473826,0.569514,-0.123043, 1
578, -0.356758,-0.954911,0.364333,0.663468,-0.652363,0.028721, 1
3154, -0.447282,-0.564181,0.490181,-0.027327,0.972701,0.029603, 1
4932, -0.655004,-0.606589,-0.329422,-0.073801,0.431380,0.041694, 1
346, -0.133695,-0.386776,-0.580045,0.536883,0.972701,0.851335, 2
810, -0.356758,-0.954911,0.364333,0.663468,-0.998576,0.028721, 2
1460, 0.395263,-0.564181,-0.391271,-0.027327,0.569514,-0.123043, 2
596, 0.721404,-0.582397,0.364333,-0.399875,-0.570593,0.028721, 2
1733, -0.175993,-0.448722,-0.580045,-0.450273,0.539423,-0.945936, 2
340, -0.133695,-0.427940,-0.580045,0.536883,0.122410,0.851335, 2
2780, -0.447282,-0.564181,-0.391271,-0.473826,0.569514,-0.123043, 2
5965, -0.447282,-0.564181,0.490181,-0.073801,0.708301,0.029603, 2
12327, -0.356758,-0.954911,-0.391271,0.663468,0.569514,-0.123043, 2
758, 0.833768,-0.386776,-0.580045,0.536883,0.539423,0.851335, 2
818, -0.356758,-0.954911,0.364333,0.663468,-0.652363,0.028721, 2
370, -0.175993,-0.448722,-0.077906,-0.450273,-0.998576,-0.945936, 2
3254, 0.395263,-0.752928,-0.391271,-0.473826,0.569514,-0.123043, 2
352, -0.175993,-0.448722,-0.077906,-0.450273,-0.998576,-0.945936, 2
1429, 0.833768,-0.888556,0.167480,0.536883,0.539423,0.596887, 2
591, 0.721404,-0.582397,-0.673497,-0.399875,-0.570593,0.755348, 2
2203, -0.356758,-0.954911,-0.580045,0.663468,0.539423,0.851335, 2
2000, -0.447282,-0.564181,0.490181,-0.027327,0.972701,0.029603, 2
1239, -0.133695,-0.386776,-0.580045,0.536883,0.539423,0.851335, 2
4144, -0.655004,-0.606589,-0.329422,-0.073801,0.431380,0.041694, 2
3609, 0.395263,-0.888556,0.167480,-0.473826,0.569514,-0.123043, 3
1505, -0.447282,-0.954911,-0.580045,0.663468,0.539423,0.851335, 3
3241, 0.542978,-0.606589,-0.391271,0.663468,0.569514,-0.123043, 3
2409, 0.833768,-0.888556,0.167480,0.536883,0.539423,-1.151884, 3
2888, -0.356758,-0.050182,1.595189,0.663468,0.569514,-0.123043, 3
11804, -0.447282,-0.448722,0.490181,-0.450273,0.972701,0.029603, 3
1034, 0.395263,-0.752928,-0.391271,-0.073801,0.224102,-0.123043, 3
1695, -0.447282,-0.954911,-0.580045,0.663468,0.539423,0.851335, 3
1874, 1.175563,-0.564181,-0.391271,-0.473826,0.569514,-0.123043, 3
2821, 0.833768,-0.888556,0.167480,0.536883,0.539423,-0.123043, 3
2320, 0.833768,-0.888556,0.167480,0.536883,0.539423,0.596887, 3
598, 0.395263,-0.564181,-0.391271,-0.027327,0.569514,-0.123043, 3
1304, -0.175993,-0.448722,-0.580045,-0.450273,0.539423,-0.945936, 3
14167, -0.447282,-0.564181,0.490181,-0.027327,0.972701,0.029603, 3
1246, -0.356758,-0.954911,-0.580045,0.663468,0.539423,0.851335, 3
4326, -0.447282,-0.564181,-0.391271,-0.473826,0.569514,-0.123043, 3
340, 0.395263,-0.752928,-0.391271,-0.473826,0.569514,-0.123043, 3
