score,linesCleared,individual,population
360, 0, 0, 0
11100, 21, 1, 0
2930, 6, 2, 0
1190, 2, 3, 0
170, 0, 4, 0
350, 0, 5, 0
1310, 4, 6, 0
180, 0, 7, 0
380, 0, 8, 0
170, 0, 9, 0
3480, 12, 10, 0
180, 0, 11, 0
1050, 3, 12, 0
160, 0, 13, 0
360, 0, 14, 0
9860, 19, 15, 0
580, 1, 16, 0
170, 0, 17, 0
2330, 7, 18, 0
370, 0, 19, 0
2920, 6, 0, 1
4030, 9, 1, 1
3370, 8, 2, 1
1960, 7, 3, 1
1910, 5, 4, 1
620, 1, 5, 1
340, 0, 6, 1
360, 0, 7, 1
360, 0, 8, 1
800, 2, 9, 1
200, 0, 10, 1
370, 0, 11, 1
820, 2, 12, 1
610, 1, 13, 1
160, 0, 14, 1
340, 0, 15, 1
1290, 4, 16, 1
1870, 5, 17, 1
2620, 10, 18, 1
3020, 10, 19, 1
2830, 9, 0, 2
620, 1, 1, 2
310, 0, 2, 2
360, 0, 3, 2
4120, 6, 4, 2
1080, 3, 5, 2
4710, 12, 6, 2
8210, 17, 7, 2
4420, 11, 8, 2
1660, 4, 9, 2
380, 0, 10, 2
360, 0, 11, 2
800, 2, 12, 2
330, 0, 13, 2
2130, 6, 14, 2
3810, 8, 15, 2
3870, 12, 16, 2
330, 0, 17, 2
320, 0, 18, 2
320, 0, 19, 2
3430, 10, 0, 3
310, 0, 1, 3
2310, 7, 2, 3
3080, 12, 3, 3
1050, 3, 4, 3
1530, 5, 5, 3
1240, 4, 6, 3
3000, 8, 7, 3
2410, 9, 8, 3
350, 0, 9, 3
330, 0, 10, 3
2380, 9, 11, 3
3050, 10, 12, 3
310, 0, 13, 3
2330, 7, 14, 3
190, 0, 15, 3
4130, 13, 16, 3
5110, 14, 17, 3
1190, 2, 18, 3
150, 0, 19, 3
5240, 18, 0, 4
1470, 3, 1, 4
1040, 3, 2, 4
2570, 8, 3, 4
820, 2, 4, 4
3490, 12, 5, 4
1270, 4, 6, 4
3680, 4, 7, 4
570, 1, 8, 4
3790, 10, 9, 4
230, 0, 10, 4
3140, 7, 11, 4
1200, 4, 12, 4
1690, 4, 13, 4
410, 1, 14, 4
2910, 6, 15, 4
3390, 8, 16, 4
5310, 15, 17, 4
520, 1, 18, 4
190, 0, 19, 4
330, 0, 0, 5
340, 0, 1, 5
2370, 7, 2, 5
960, 3, 3, 5
3790, 8, 4, 5
1910, 5, 5, 5
570, 1, 6, 5
1460, 5, 7, 5
360, 0, 8, 5
630, 1, 9, 5
2380, 9, 10, 5
7000, 24, 11, 5
170, 0, 12, 5
830, 2, 13, 5
6970, 17, 14, 5
1640, 4, 15, 5
3370, 8, 16, 5
150, 0, 17, 5
4560, 8, 18, 5
430, 1, 19, 5
800, 2, 0, 6
4890, 13, 1, 6
2760, 7, 2, 6
3940, 14, 3, 6
6060, 18, 4, 6
3980, 9, 5, 6
5780, 15, 6, 6
5680, 11, 7, 6
380, 0, 8, 6
2530, 8, 9, 6
7360, 17, 10, 6
1690, 4, 11, 6
11170, 39, 12, 6
7970, 16, 13, 6
4120, 13, 14, 6
530, 1, 15, 6
1040, 3, 16, 6
790, 2, 17, 6
9650, 34, 18, 6
300, 0, 19, 6
16800, 48, 0, 7
2890, 6, 1, 7
1630, 4, 2, 7
570, 1, 3, 7
1920, 5, 4, 7
810, 2, 5, 7
6250, 19, 6, 7
7180, 16, 7, 7
5350, 15, 8, 7
320, 0, 9, 7
4570, 15, 10, 7
5510, 12, 11, 7
180, 0, 12, 7
1070, 3, 13, 7
1920, 7, 14, 7
2780, 7, 15, 7
1230, 2, 16, 7
1680, 4, 17, 7
4610, 10, 18, 7
5950, 14, 19, 7
3140, 7, 0, 8
6370, 16, 1, 8
3990, 9, 2, 8
2980, 8, 3, 8
4880, 13, 4, 8
770, 2, 5, 8
6900, 13, 6, 8
2580, 8, 7, 8
2350, 7, 8, 8
1230, 4, 9, 8
340, 0, 10, 8
3670, 11, 11, 8
3170, 7, 12, 8
3470, 12, 13, 8
13650, 34, 14, 8
3250, 11, 15, 8
1510, 5, 16, 8
2920, 6, 17, 8
420, 1, 18, 8
2490, 4, 19, 8
9100, 28, 0, 9
7420, 17, 1, 9
3770, 8, 2, 9
2560, 8, 3, 9
1230, 2, 4, 9
7320, 20, 5, 9
1420, 3, 6, 9
1000, 3, 7, 9
3750, 15, 8, 9
6690, 19, 9, 9
340, 0, 10, 9
340, 0, 11, 9
3230, 9, 12, 9
4030, 9, 13, 9
5090, 12, 14, 9
10250, 26, 15, 9
6450, 25, 16, 9
7260, 18, 17, 9
5570, 16, 18, 9
2190, 8, 19, 9
8620, 17, 0, 10
2700, 5, 1, 10
800, 2, 2, 10
9040, 26, 3, 10
320, 0, 4, 10
5920, 21, 5, 10
4080, 13, 6, 10
3610, 9, 7, 10
1190, 2, 8, 10
360, 0, 9, 10
1300, 4, 10, 10
600, 1, 11, 10
1920, 5, 12, 10
6540, 22, 13, 10
360, 0, 14, 10
380, 0, 15, 10
810, 2, 16, 10
590, 1, 17, 10
600, 1, 18, 10
1290, 4, 19, 10
3640, 9, 0, 11
12110, 36, 1, 11
370, 0, 2, 11
610, 1, 3, 11
1150, 2, 0, 0
