score,linesCleared,individual,population
410, 1, 0, 0
3190, 9, 1, 0
300, 0, 2, 0
1530, 5, 3, 0
150, 0, 4, 0
560, 1, 5, 0
2340, 7, 6, 0
170, 0, 7, 0
340, 0, 8, 0
1470, 3, 9, 0
310, 0, 10, 0
310, 0, 11, 0
190, 0, 12, 0
170, 0, 13, 0
350, 0, 14, 0
190, 0, 15, 0
3820, 10, 16, 0
340, 0, 17, 0
160, 0, 18, 0
3840, 10, 19, 0
3910, 14, 0, 1
320, 0, 1, 1
1400, 3, 2, 1
800, 2, 3, 1
340, 0, 4, 1
2080, 4, 5, 1
370, 0, 6, 1
160, 0, 7, 1
400, 0, 8, 1
630, 1, 9, 1
4290, 12, 10, 1
320, 0, 11, 1
540, 1, 12, 1
590, 1, 13, 1
1210, 2, 14, 1
180, 0, 15, 1
360, 0, 16, 1
1900, 5, 17, 1
180, 0, 18, 1
140, 0, 19, 1
2810, 9, 0, 2
1010, 3, 1, 2
2350, 7, 2, 2
2810, 9, 3, 2
5070, 12, 4, 2
310, 0, 5, 2
360, 0, 6, 2
320, 0, 7, 2
340, 0, 8, 2
340, 0, 9, 2
1520, 5, 10, 2
400, 0, 11, 2
380, 0, 12, 2
330, 0, 13, 2
180, 0, 14, 2
4410, 9, 15, 2
360, 0, 16, 2
170, 0, 17, 2
310, 0, 18, 2
330, 0, 19, 2
340, 0, 0, 3
560, 1, 1, 3
4290, 12, 2, 3
1080, 3, 3, 3
1880, 5, 4, 3
580, 1, 5, 3
4630, 17, 6, 3
4070, 11, 7, 3
2100, 6, 8, 3
350, 0, 9, 3
2300, 5, 10, 3
2460, 4, 11, 3
3090, 5, 12, 3
290, 0, 13, 3
2540, 6, 14, 3
410, 0, 15, 3
520, 1, 16, 3
370, 0, 17, 3
1670, 4, 18, 3
360, 0, 19, 3
3280, 11, 0, 4
3370, 8, 1, 4
1670, 4, 2, 4
1450, 3, 3, 4
3620, 9, 4, 4
2790, 9, 5, 4
2160, 6, 6, 4
360, 0, 7, 4
2840, 9, 8, 4
610, 1, 9, 4
820, 2, 10, 4
1720, 4, 11, 4
340, 0, 12, 4
7220, 25, 13, 4
820, 2, 14, 4
310, 0, 15, 4
1670, 4, 16, 4
4090, 13, 17, 4
620, 1, 18, 4
620, 1, 19, 4
2810, 9, 0, 5
290, 0, 1, 5
4200, 10, 2, 5
2810, 9, 3, 5
4020, 9, 4, 5
540, 1, 5, 5
7430, 17, 6, 5
1040, 3, 7, 5
350, 0, 8, 5
300, 0, 9, 5
130, 0, 10, 5
810, 2, 11, 5
2320, 5, 12, 5
5700, 13, 13, 5
330, 0, 14, 5
1660, 4, 15, 5
4730, 14, 16, 5
2470, 4, 17, 5
1650, 4, 18, 5
2530, 6, 19, 5
1900, 5, 0, 6
4280, 12, 1, 6
390, 0, 2, 6
1680, 4, 3, 6
1000, 3, 4, 6
570, 1, 5, 6
5170, 16, 6, 6
2920, 6, 7, 6
370, 0, 8, 6
590, 1, 9, 6
3150, 9, 10, 6
1250, 2, 11, 6
6230, 19, 12, 6
360, 0, 13, 6
330, 0, 14, 6
360, 0, 15, 6
1890, 5, 16, 6
180, 0, 17, 6
340, 0, 18, 6
160, 0, 19, 6
590, 1, 0, 7
1720, 6, 1, 7
2280, 3, 2, 7
3310, 6, 3, 7
580, 1, 4, 7
400, 0, 5, 7
7480, 12, 6, 7
600, 1, 7, 7
2450, 4, 8, 7
4500, 13, 9, 7
320, 0, 10, 7
330, 0, 11, 7
400, 0, 12, 7
370, 0, 13, 7
400, 1, 14, 7
330, 0, 15, 7
350, 0, 16, 7
3950, 7, 17, 7
3600, 9, 18, 7
3230, 11, 19, 7
3920, 12, 0, 8
2350, 7, 1, 8
390, 0, 2, 8
2140, 6, 3, 8
1870, 5, 4, 8
620, 1, 5, 8
570, 1, 6, 8
370, 0, 7, 8
580, 1, 8, 8
2690, 5, 9, 8
590, 1, 10, 8
3730, 13, 11, 8
3510, 12, 12, 8
530, 1, 13, 8
230, 0, 14, 8
210, 0, 15, 8
280, 0, 16, 8
680, 2, 17, 8
1280, 4, 18, 8
280, 0, 19, 8
380, 0, 0, 9
1950, 7, 1, 9
2720, 5, 2, 9
400, 0, 3, 9
1890, 5, 4, 9
1290, 4, 5, 9
4340, 14, 6, 9
580, 1, 7, 9
220, 0, 8, 9
1060, 3, 9, 9
150, 0, 10, 9
4940, 15, 11, 9
130, 0, 12, 9
1230, 2, 13, 9
780, 2, 14, 9
610, 1, 15, 9
2440, 4, 16, 9
170, 0, 17, 9
310, 0, 18, 9
2850, 9, 19, 9
1010, 3, 0, 10
1030, 3, 1, 10
340, 0, 2, 10
5800, 17, 3, 10
570, 1, 4, 10
1070, 3, 5, 10
1470, 3, 6, 10
370, 0, 7, 10
350, 0, 8, 10
620, 1, 9, 10
570, 1, 10, 10
3090, 12, 11, 10
610, 1, 12, 10
4740, 7, 13, 10
330, 0, 14, 10
10290, 28, 15, 10
2600, 8, 16, 10
8710, 28, 17, 10
290, 0, 18, 10
4970, 15, 19, 10
4240, 12, 0, 11
1010, 3, 1, 11
2110, 6, 2, 11
6220, 10, 3, 11
3880, 5, 4, 11
600, 1, 5, 11
1460, 3, 6, 11
2820, 9, 7, 11
2100, 6, 8, 11
390, 0, 9, 11
360, 0, 0, 0
1150, 2, 0, 0
