score,weight1,weight2,weight3,weight4,weight5,weight6,population
5545, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 4
10690, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 4
4588, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 4
8032, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 4
5978, -0.457391,-0.949764,0.077777,0.890312,0.428295,0.101645, 4
1234, -0.268983,-0.323121,0.077777,0.890312,0.751073,0.850656, 4
572, -0.457391,-0.949764,0.077777,-0.991977,0.428295,0.842509, 4
1940, -0.457391,-0.618518,0.077777,-0.991977,0.428295,0.101645, 4
598, -0.457391,-0.618518,0.077777,-0.021157,0.751073,0.549831, 4
373, -0.457391,-0.949764,0.155516,-0.991977,0.428295,0.842509, 4
5766, -0.268983,-0.323121,0.077777,0.890312,0.751073,0.101645, 4
9110, -0.457391,-0.618518,0.077777,0.890312,0.751073,0.101645, 4
2031, -0.457391,-0.949764,0.077777,-0.991977,0.428295,0.101645, 4
810, -0.268983,-0.323121,0.077777,0.890312,0.751073,0.850656, 4
1290, -0.457391,-0.618518,0.077777,-0.991977,0.428295,0.101645, 4
4873, -0.457391,-0.949764,0.077777,-0.414081,0.428295,0.101645, 4
1916, -0.457391,-0.618518,0.077777,-0.414081,0.428295,0.101645, 4
1831, -0.457391,-0.949764,0.077777,0.890312,0.428295,0.101645, 4
1707, -0.457391,-0.618518,0.077777,-0.571377,0.428295,0.101645, 5
3063, -0.457391,-0.618518,0.077777,-0.414081,0.428295,0.101645, 5
5099, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 5
8266, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 5
2463, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 5
1032, -0.457391,-0.949764,0.077777,-0.991977,-1.181053,0.101645, 5
2210, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 5
825, -0.268983,-0.949764,0.155516,-0.991977,0.751073,0.101645, 5
6166, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 5
6200, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 5
1997, -0.457391,-0.618518,0.077777,-0.991977,0.428295,0.101645, 5
1819, -0.457391,-0.949764,0.077777,-0.991977,0.428295,0.101645, 5
5118, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 5
4707, -0.457391,-0.949764,0.077777,-0.414081,0.428295,0.101645, 5
5112, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 5
9446, -0.268983,-0.323121,0.077777,0.890312,0.751073,0.101645, 5
1928, -0.457391,-0.949764,0.077777,0.890312,0.428295,0.101645, 5
8184, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 5
2704, -0.457391,-0.618518,0.077777,0.890312,0.751073,0.101645, 5
5852, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 5
7485, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 6
3116, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 6
802, -0.457391,-0.323121,0.077777,-0.991977,-0.184571,0.101645, 6
7858, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 6
2072, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 6
6057, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 6
1762, -0.457391,-0.323121,0.077777,-0.149279,0.751073,0.101645, 6
125, -0.457391,1.838717,0.077777,-0.991977,0.751073,0.101645, 6
583, -0.268983,-0.323121,-1.189696,0.890312,0.751073,0.101645, 6
1476, -0.457391,-0.323121,0.077777,-1.453615,0.751073,0.101645, 6
2005, -0.457391,-0.949764,0.077777,-0.414081,0.428295,0.101645, 6
7861, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 6
1131, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 6
5585, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 6
3632, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 6
14013, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 6
1674, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 6
1518, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 6
2194, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 6
1710, -0.268983,-0.323121,0.077777,0.890312,0.751073,0.101645, 6
1332, -0.457391,-0.949764,0.077777,-0.991977,0.751073,1.793806, 7
14967, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 7
8729, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 7
6739, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 7
6194, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 7
4138, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 7
605, -0.457391,-1.794544,0.077777,0.890312,-1.479144,0.101645, 7
4890, -0.457391,-1.708093,0.155516,0.890312,0.751073,0.101645, 7
1737, -0.457391,-0.323121,0.077777,-0.991977,0.751073,0.101645, 7
350, -0.457391,1.440359,0.077777,-0.991977,0.751073,0.101645, 7
3006, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 7
10550, -0.268983,-0.949764,0.155516,0.890312,0.751073,0.101645, 7
10166, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 7
1515, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 7
9031, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 7
2433, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 7
6915, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 7
6784, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 7
2160, -0.457391,-0.323121,0.077777,0.890312,0.751073,0.101645, 7
2641, -0.457391,-0.949764,0.077777,-0.991977,0.751073,0.101645, 7
2932, -0.457391,-1.708093,0.155516,-0.991977,0.751073,0.101645, 8
5259, -0.268983,-0.949764,0.077777,0.890312,0.874647,0.101645, 8
10967, -0.457391,-1.708093,0.155516,0.890312,0.751073,0.101645, 8
16098, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 8
625, -0.457391,-0.949764,1.998966,0.890312,0.751073,0.101645, 8
