score,linesCleared,step
0, 0, 0
0, 0, 1
2000, 10, 2
1600, 8, 3
2000, 6, 4
1800, 9, 5
2000, 10, 6
800, 4, 7
1000, 5, 8
2000, 8, 9
3600, 12, 10
2400, 10, 11
3600, 16, 12
2400, 12, 13
3000, 15, 14
1600, 8, 15
2400, 12, 16
1000, 5, 17
3400, 15, 18
4600, 17, 19
4000, 18, 20
1600, 8, 21
2800, 14, 22
2000, 10, 23
6400, 28, 24
2600, 13, 25
6600, 25, 26
3000, 13, 27
3600, 16, 28
2800, 12, 29
3800, 17, 30
1800, 7, 31
3400, 17, 32
3400, 15, 33
8000, 34, 34
3200, 14, 35
4400, 20, 36
1000, 5, 37
4600, 23, 38
5600, 26, 39
4800, 22, 40
6600, 29, 41
3200, 12, 42
4200, 19, 43
3200, 16, 44
600, 3, 45
1800, 9, 46
3600, 16, 47
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
