score,weight1,weight2,weight3,weight4,weight5,weight6,population
90, -0.602263,0.917946,-0.066334,0.443020,0.551050,-0.013849, 0
363, -0.168475,-0.862382,-0.797824,-0.549647,-0.999877,0.028273, 0
392, 0.389495,-0.229341,-0.273192,-0.250763,-0.871233,0.187498, 0
309, 0.876435,0.736429,0.655244,-0.066216,0.855640,0.051147, 0
101, -0.078630,0.206425,-0.209882,-0.840854,0.792893,0.789231, 0
8001, 0.903973,-0.809370,0.707177,-0.162361,0.633650,0.258227, 0
561, 0.823789,-0.534825,0.395846,-0.974035,-0.084473,0.395969, 0
2542, 0.054238,-0.694977,-0.833372,0.781046,0.054260,-0.704605, 0
286, -0.031455,-0.069305,-0.968176,-0.376211,0.864479,0.887464, 0
594, 0.674936,-0.214152,0.093889,-0.534946,-0.055005,-0.113218, 0
2463, -0.745715,-0.151033,0.077412,0.961462,0.686606,-0.288938, 0
213, 0.219690,0.510395,0.176237,-0.384465,0.536360,-0.908236, 0
572, -0.988496,-0.409402,-0.603213,-0.821868,-0.628356,0.451047, 0
209, -0.526472,0.340189,-0.618258,-0.494648,0.963977,-0.753780, 0
125, -0.607184,0.638913,0.032069,0.486705,-0.896033,0.977063, 0
7456, -0.626513,-0.641748,-0.173970,0.450900,-0.680286,-0.487364, 0
112, -0.838038,0.539403,-0.976968,0.338199,-0.845062,0.559392, 0
600, 0.429964,-0.833557,-0.850010,0.826751,-0.655425,-0.478366, 0
579, 0.277797,-0.181898,0.861822,0.659539,0.323454,0.825800, 0
91, 0.905760,0.716270,0.464713,-0.062172,0.202975,0.568680, 0
10472, -0.626513,-0.694977,-0.833372,0.450900,-0.680286,-0.487364, 1
558, 0.389495,-0.229341,-0.273192,-0.534946,-0.871233,0.187498, 1
1038, 0.389495,-0.809370,0.707177,-0.162361,-0.871233,0.258227, 1
14026, -0.626513,-0.641748,-0.273192,0.450900,-0.871233,-0.487364, 1
767, 0.429964,-0.181898,-0.850010,0.826751,0.323454,-0.478366, 1
1092, 0.277797,-0.694977,0.861822,0.781046,0.323454,-0.704605, 1
2448, 0.277797,-0.809370,0.861822,-0.162361,0.633650,0.258227, 1
325, 0.277797,-0.181898,0.861822,-0.821868,-0.628356,0.451047, 1
1981, 0.389495,-0.151033,0.077412,0.961462,0.686606,0.187498, 1
3429, -0.745715,-0.809370,0.381038,-0.162361,0.686606,0.258227, 1
356, 0.389495,-0.229341,-0.273192,-0.250763,-0.871233,0.187498, 1
297, 0.823789,-0.534825,0.395846,-0.974035,-0.084473,0.395969, 1
339, -0.988496,-0.409402,-0.603213,-0.821868,-0.628356,0.451047, 1
343, 0.277797,-0.181898,0.861822,0.659539,0.323454,0.825800, 1
326, 0.674936,-0.214152,0.093889,-0.534946,-0.055005,-0.113218, 1
350, 0.429964,-0.833557,-0.850010,0.826751,-0.655425,-0.478366, 1
4660, -0.745715,-0.151033,0.077412,0.961462,0.686606,-0.288938, 1
3726, 0.054238,-0.694977,-0.833372,0.781046,0.054260,-0.704605, 1
8723, -0.626513,-0.641748,-0.173970,0.450900,-0.680286,-0.487364, 1
1950, 0.903973,-0.809370,0.707177,-0.162361,0.633650,0.258227, 1
5052, 0.277797,-0.151033,0.861822,0.961462,0.686606,-0.704605, 2
3485, -0.626513,-0.694977,-0.173970,0.450900,-0.680286,-0.704605, 2
9015, -0.626513,-0.809370,0.707177,0.450900,-0.680286,-0.487364, 2
810, 0.054238,-0.694977,-0.833372,0.781046,0.054260,-0.704605, 2
7882, -0.745715,-0.809370,0.381038,-0.162361,0.686606,-0.487364, 2
380, 0.277797,-0.809370,0.861822,-0.162361,-0.871233,0.258227, 2
2506, -0.626513,-0.809370,-0.173970,-0.162361,0.633650,-1.098691, 2
4181, -0.626513,-0.641748,-0.173970,0.450900,-0.680286,-0.487364, 2
4983, -0.757343,-0.694977,0.077412,0.961462,0.054260,-0.288938, 2
7527, -0.745715,-0.809370,0.381038,-0.162361,0.686606,-0.487364, 2
4623, 0.277797,-0.694977,0.861822,0.781046,0.323454,-0.704605, 2
1634, 0.903973,-0.809370,0.707177,-0.162361,0.633650,0.258227, 2
804, 0.389495,-0.151033,0.077412,0.961462,0.686606,0.187498, 2
587, 0.277797,-0.809370,0.861822,-0.162361,0.633650,0.258227, 2
5444, -0.745715,-0.809370,0.381038,-0.162361,0.686606,0.258227, 2
1518, 0.054238,-0.694977,-0.833372,0.781046,0.054260,-0.704605, 2
5053, -0.745715,-0.151033,0.077412,0.961462,0.686606,-0.288938, 2
1765, -0.626513,-0.641748,-0.173970,0.450900,-0.680286,-0.487364, 2
5195, -0.626513,-0.694977,-0.833372,0.450900,-0.680286,-0.487364, 2
1067, -0.626513,-0.641748,-0.273192,0.450900,-0.871233,-0.487364, 2
