score,linesCleared,step
600, 3, 0
1400, 7, 1
800, 4, 2
1200, 6, 3
4200, 17, 4
1000, 5, 5
2200, 11, 6
1200, 6, 7
1600, 8, 8
3200, 16, 9
2000, 8, 10
2400, 12, 11
3600, 16, 12
400, 2, 13
1600, 8, 14
3000, 13, 15
3000, 15, 16
1800, 9, 17
2600, 13, 18
2200, 11, 19
4600, 21, 20
2800, 14, 21
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
