score,linesCleared,step
0, 0, 0
800, 4, 1
600, 3, 2
600, 3, 3
400, 2, 4
1200, 6, 5
2200, 9, 6
2200, 11, 7
2600, 13, 8
3200, 14, 9
3400, 15, 10
2600, 9, 11
600, 3, 12
3000, 15, 13
2000, 10, 14
1200, 6, 15
4200, 19, 16
2600, 13, 17
1600, 8, 18
6000, 22, 19
3200, 12, 20
4200, 19, 21
10600, 35, 22
5400, 21, 23
3200, 14, 24
1400, 7, 25
3400, 11, 26
1400, 7, 27
3400, 15, 28
3200, 16, 29
3200, 16, 30
2200, 11, 31
4000, 12, 32
5400, 21, 33
1800, 7, 34
3400, 15, 35
5000, 23, 36
3000, 9, 37
4200, 19, 38
3800, 15, 39
1600, 8, 40
2400, 8, 41
2400, 12, 42
5200, 20, 43
6400, 28, 44
2000, 10, 45
6000, 18, 46
5800, 27, 47
2400, 10, 48
3800, 17, 49
2800, 14, 50
2000, 8, 51
1800, 7, 52
4600, 19, 53
3800, 13, 54
5400, 23, 55
1400, 7, 56
2000, 8, 57
2400, 12, 58
3600, 16, 59
2400, 12, 60
3600, 18, 61
10400, 40, 62
4000, 18, 63
3000, 15, 64
4400, 18, 65
2200, 11, 66
7800, 31, 67
4000, 18, 68
1800, 9, 69
3200, 14, 70
5400, 25, 71
1800, 9, 72
3600, 16, 73
2000, 8, 74
4000, 16, 75
3400, 17, 76
3800, 17, 77
4800, 20, 78
7400, 27, 79
1200, 4, 80
10200, 45, 81
5600, 24, 82
2800, 14, 83
5000, 21, 84
4600, 17, 85
1600, 8, 86
7000, 19, 87
5200, 24, 88
2800, 10, 89
2400, 12, 90
7600, 30, 91
2800, 14, 92
3400, 15, 93
4400, 16, 94
5200, 22, 95
6000, 24, 96
7600, 30, 97
4200, 21, 98
1800, 9, 99
2200, 9, 100
7800, 33, 101
1400, 5, 102
2000, 10, 103
6400, 20, 104
5400, 21, 105
1800, 9, 106
2000, 10, 107
3000, 15, 108
3400, 17, 109
600, 3, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
