score,weight1,weight2,weight3,weight4,weight5,weight6,population
313, -0.586581,0.564813,-0.257942,-0.006008,0.115754,-0.776251, 0
1703, -0.431285,-0.228300,0.167851,0.822368,-0.118340,-0.816802, 0
346, 0.728284,-0.171131,0.322047,0.235570,-0.646121,-0.715610, 0
315, -0.835710,0.049119,0.818360,0.975914,0.641746,0.285917, 0
319, -0.990256,-0.653268,0.277338,-0.466108,-0.052891,0.929097, 0
291, -0.412821,0.360528,0.493909,0.329237,-0.645480,-0.390336, 0
383, 0.552985,-0.076766,0.381364,-0.279163,-0.254398,-0.736976, 0
1461, -0.095965,-0.526113,0.091893,-0.773918,0.709457,0.445772, 0
144, -0.489528,0.873747,-0.505109,-0.671168,0.849661,-0.863363, 0
97, 0.614749,0.859405,-0.516630,-0.107913,-0.606703,0.430479, 0
299, -0.178817,-0.019524,-0.208993,-0.684907,-0.690287,0.145527, 0
134, -0.075243,0.862698,-0.931238,-0.693880,-0.416465,-0.185636, 0
140, -0.430856,0.487570,0.288251,0.661038,0.713652,-0.002292, 0
1029, 0.106810,-0.775876,-0.128545,0.601701,-0.447045,-0.278885, 0
3626, 0.738338,-0.832296,-0.419480,-0.778293,0.059791,-0.026183, 0
133, 0.652186,0.880975,0.954293,-0.556807,-0.803933,-0.735994, 0
131, 0.588721,0.120824,-0.873297,0.657482,0.426944,-0.289762, 0
102, -0.528154,0.996089,-0.802192,0.760097,0.657127,0.911460, 0
864, -0.242195,-0.236063,-0.864416,0.629259,-0.634363,-0.311461, 0
1864, -0.649625,-0.896025,-0.143756,-0.069105,-0.674317,0.916035, 0
807, 0.738338,-0.832296,-0.419480,-0.778293,0.059791,-0.026183, 1
1774, -0.649625,-0.832296,0.846644,-1.537298,-0.674317,0.916035, 1
1174, -0.095965,-0.171131,0.322047,0.235570,-0.646121,0.445772, 1
808, -0.649625,-0.896025,-0.143756,-0.069105,-0.674317,0.916035, 1
289, -0.649625,-0.236063,-0.864416,0.629259,-0.634363,0.916035, 1
1575, 0.552985,-0.896025,0.381364,-0.069105,-0.254398,-0.736976, 1
109, -0.242195,0.881128,-0.419480,-0.778293,0.059791,-0.026183, 1
1285, -0.431285,-0.228300,0.167851,0.822368,-0.118340,-0.816802, 1
363, -0.649625,-0.896025,-0.143756,0.629259,-0.674317,0.916035, 1
2357, 0.738338,-0.832296,-0.419480,-0.279163,-0.254398,-0.736976, 1
573, -0.835710,0.049119,0.818360,0.975914,0.641746,0.285917, 1
358, -0.990256,-0.653268,0.277338,-0.466108,-0.052891,0.929097, 1
370, 0.728284,-0.171131,0.322047,0.235570,-0.646121,-0.715610, 1
340, 0.552985,-0.076766,0.381364,-0.279163,-0.254398,-0.736976, 1
615, -0.242195,-0.236063,-0.864416,0.629259,-0.634363,-0.311461, 1
817, 0.106810,-0.775876,-0.128545,0.601701,-0.447045,-0.278885, 1
1072, -0.095965,-0.526113,0.091893,-0.773918,0.709457,0.445772, 1
804, -0.431285,-0.228300,0.167851,0.822368,-0.118340,-0.816802, 1
342, -0.649625,-0.896025,-0.143756,-0.069105,-0.674317,0.916035, 1
5484, 0.738338,-0.832296,-0.419480,-0.778293,0.059791,-0.026183, 1
2508, 0.106810,-0.526113,-0.128545,0.601701,0.709457,-0.278885, 2
1114, 0.552985,-0.832296,-0.419480,-0.069105,-0.254398,-0.736976, 2
850, -0.649625,-0.832296,-0.419480,-1.973040,-0.674317,0.916035, 2
372, 0.738338,-0.832296,-0.419480,-0.778293,0.059791,-0.026183, 2
1066, 0.738338,-0.832296,0.091893,-0.778293,0.709457,-0.026183, 2
606, -0.095965,-0.526113,0.322047,-0.773918,-0.646121,0.445772, 2
565, 0.738338,-0.228300,0.167851,-0.279163,0.740296,-0.816802, 2
369, -0.649625,-0.832296,0.846644,-0.069105,-0.674317,0.916035, 2
115, 0.738338,0.623136,-0.419480,-0.778293,0.059791,-0.026183, 2
2959, 0.738338,-0.832296,-0.419480,-0.778293,0.059791,-0.026183, 2
5001, 0.738338,-0.832296,-0.419480,-0.778293,0.059791,-0.026183, 2
1018, -0.649625,-0.896025,-0.143756,-0.069105,-0.674317,0.916035, 2
2535, 0.106810,-0.775876,-0.128545,0.601701,-0.447045,-0.278885, 2
576, -0.095965,-0.526113,0.091893,-0.773918,0.709457,0.445772, 2
340, -0.095965,-0.171131,0.322047,0.235570,-0.646121,0.445772, 2
1695, -0.431285,-0.228300,0.167851,0.822368,-0.118340,-0.816802, 2
835, 0.552985,-0.896025,0.381364,-0.069105,-0.254398,-0.736976, 2
571, -0.649625,-0.832296,0.846644,-1.537298,-0.674317,0.916035, 2
830, 0.738338,-0.832296,-0.419480,-0.279163,-0.254398,-0.736976, 2
2332, 0.738338,-0.832296,-0.419480,-0.778293,0.059791,-0.026183, 2
1870, -0.431285,-0.228300,-0.128545,0.601701,-0.447045,-0.278885, 3
567, -0.431285,-0.228300,0.167851,-0.069105,-0.118340,0.916035, 3
379, 0.738338,-0.832296,-0.419480,-0.778293,-0.674317,-0.697292, 3
3373, 0.738338,-0.526113,0.091893,0.601701,0.709457,-0.278885, 3
7786, 0.106810,-0.832296,-0.419480,-0.778293,0.059791,-0.278885, 3
