score,linesCleared,step
0, 0, 0
400, 2, 1
0, 0, 2
0, 0, 3
0, 0, 4
0, 0, 5
0, 0, 6
200, 1, 7
0, 0, 8
400, 2, 9
0, 0, 10
400, 2, 11
400, 2, 12
200, 1, 13
200, 1, 14
400, 2, 15
200, 1, 16
400, 2, 17
400, 2, 18
200, 1, 19
200, 1, 20
0, 0, 21
200, 1, 22
400, 2, 23
0, 0, 24
0, 0, 25
200, 1, 26
400, 2, 27
200, 1, 28
200, 1, 29
200, 1, 30
200, 1, 31
800, 4, 32
0, 0, 33
400, 2, 34
1200, 6, 35
0, 0, 36
400, 2, 37
1400, 5, 38
0, 0, 39
600, 3, 40
800, 4, 41
600, 3, 42
0, 0, 43
400, 2, 44
400, 2, 45
800, 4, 46
2600, 11, 47
0, 0, 48
400, 2, 49
800, 4, 50
1200, 4, 51
2000, 8, 52
1800, 7, 53
600, 3, 54
1200, 6, 55
1200, 4, 56
1200, 6, 57
1600, 6, 58
2200, 9, 59
600, 3, 60
3600, 14, 61
2000, 8, 62
7400, 27, 63
6000, 22, 64
1400, 7, 65
400, 2, 66
1400, 7, 67
1600, 8, 68
2000, 10, 69
5400, 25, 70
3000, 13, 71
4800, 24, 72
2000, 10, 73
5800, 25, 74
4800, 22, 75
3400, 15, 76
0, 0, 0
600, 3, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
